no;kod;cinsiyet;aciklama;varsayilanFiyat;aktif
1;AF-001;Kadın;Çiçeksi - yasemin, gül, beyaz çiçekler;2500;Evet
2;AF-002;Erkek;Odunsu - sedir, vetiver, deri;2500;Evet
3;AF-003;Unisex;Oryantal - amber, vanilya, tonka;2750;Evet
4;AF-004;Kadın;Meyvemsi - şeftali, frezya, misk;2500;Evet
5;AF-005;Erkek;Fujer - lavanta, yosun, bergamot;2500;Evet
6;AF-006;Unisex;Aromatik - adaçayı, biberiye, limon;2500;Evet
7;AF-007;Kadın;Gurme - karamel, praline, sandal ağacı;2750;Evet
8;AF-008;Erkek;Akuatik - deniz notaları, misk, tuz;2500;Evet
9;AF-009;Unisex;Füme - ud, tütsü, kadife gül;3000;Evet
10;AF-010;Kadın;Pudramsı - iris, menekşe, kaşmir;2750;Evet
